"","gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"6921","UTP25",767.197257282055,-0.234210974718107,0.0978361924482446,-2.39390933822373,0.0166698687164275,0.0472425331710717
"6922","LDHAL6B",4.35145928211506,-2.19524539603753,0.917011917292996,-2.39391152354689,0.0166697693987015,0.0472425331710717
"6923","HOXA6",26.7970852922383,-0.752302215546066,0.314452839196648,-2.39241667357184,0.016737828265291,0.0474282792258001
"6924","MICALL2-DT",4.13025840777319,2.8722269404663,1.20076409419294,2.39199935637382,0.0167568717624638,0.0474753832126304
"6925","TESMIN",296.196374432715,-0.960059729293315,0.401472090435186,-2.39134861965781,0.016786604884024,0.0475527549472779
"6926","TMEM129",635.669959533423,-0.214099455770274,0.08953614969529,-2.39120686447763,0.0167930880276347,0.0475642517814193
"6927","TMEM178A",12.6228742887491,1.61123001897358,0.67391976651551,2.39083359626683,0.0168101698867298,0.0476057604544505
"6928","MYO7B",4.65463562793454,-3.46408704838351,1.44893909568021,-2.39077478046604,0.0168128628626019,0.047606514257457
"6929","TRMT11",504.962740001372,0.229792926526325,0.0961271732172917,2.39050955973591,0.0168250111243264,0.0476340371230929
"6930","LINC02068",5.90964563416223,-2.17267982471269,0.908944307599669,-2.39033327624911,0.0168330899360301,0.0476500325072297
"6931","KCND3",19.4462324399581,-1.7696983181234,0.740425072455932,-2.39011128061001,0.0168432685120877,0.047671966296584
"6932","CCT2",6236.34223408418,-0.162176285790433,0.0678607853874179,-2.38983803185548,0.0168558044782067,0.0477003906552691
"6933","ECE1-AS1",4.1534577972566,-2.29747823075235,0.961373885773428,-2.38978639294328,0.0168581744615885,0.0477003906552691
"6934","IL17RD",155.147883849496,-0.522267319855788,0.21855762948938,-2.38960918946627,0.0168663094925514,0.0477159505547788
"6935","DLEU7",7.55455803798169,-3.2383027498864,1.35518751021018,-2.38956065156191,0.0168685383645507,0.0477159505547788
"6936","TRMT10A",127.545963866229,0.474470028019803,0.198567201242148,2.38946827598782,0.0168727809869004,0.0477210704469472
"6937","HK2-DT",48.7653831766036,-0.602727785590357,0.252257916259482,-2.38933150058358,0.0168790645232399,0.0477319603218101
"6938","SPAG17",21.2581133287937,-1.2102898814527,0.506563254953769,-2.38921767344367,0.0168842953696625,0.0477338318816249
"6939","HLCS-IT1",1.65397932034706,-3.83331865317342,1.60442854706661,-2.3892111993282,0.01688459292586,0.0477338318816249
"6940","PSMD10",857.821012228297,0.191264527315393,0.0800648744930748,2.38886938281452,0.0169003096597483,0.0477713796246804
"6941","AFG3L1P",789.655283299573,0.273765822215636,0.114629153302372,2.38827396285036,0.0169277177539178,0.047841959253509
"6942","MATR3",7280.21085686787,0.174790241046413,0.0731955236135137,2.38799085541541,0.0169407633017815,0.0478719322516635
"6943","RAB10",2178.49695661445,-0.186070323763005,0.0779329337030936,-2.38756986195194,0.0169601789328876,0.047919894876344
"6944","GFOD1",278.99438647885,0.323186691792584,0.135381190822198,2.38723481326914,0.0169756448630652,0.0479566856680228
"6945","WDSUB1",130.876727908184,-0.382497361799779,0.160287175761979,-2.38632541862098,0.0170176851471978,0.0480685283704219
"6946","GTF3C3",1162.12023925253,0.200859694312041,0.0841975456269986,2.38557659628066,0.0170523709135618,0.0481526357004955
"6947","CHID1",1090.47823007329,-0.209294361237996,0.0877327453702218,-2.38559001379472,0.0170517488632686,0.0481526357004955
"6948","HSPA14",405.513596963259,-0.287417863914448,0.120525850192505,-2.38469891276753,0.0170931045341072,0.0482607126720755
"6949","C5AR1",61.8824879963974,-1.32637768053984,0.556416727832786,-2.3837846962402,0.0171356244154785,0.0483738011452643
"6950","TRPV1",201.35391139184,0.441673335944534,0.185308209028888,2.38345261798781,0.0171510922141632,0.0484105001388832
"6951","RPS27AP12",6.40475795786325,-2.20452951310735,0.925067718263707,-2.3831006850451,0.0171674981879933,0.0484498362759121
"6952","REPS2",117.480729584483,-0.563513684158711,0.236482285414471,-2.38290019555193,0.0171768505127383,0.0484692572653031
"6953","TRNAU1AP",288.996622115181,0.245359674416848,0.102993012010787,2.38229438703231,0.0172051371002998,0.0485420932686008
"6954","EFNB1",353.638209773437,0.297907064223285,0.125058286188346,2.38214574422215,0.0172120838133952,0.0485547092561654
"6955","ANAPC4",687.781510872678,0.251615072389773,0.10563697934139,2.38188439274302,0.0172243038497913,0.0485821953445514
"6956","TRAF7",2623.6825957242,0.179287573085669,0.0752741656343921,2.38179422614223,0.0172285215435666,0.0485871056814472
"6957","DIP2C-AS1",18.4718752219455,-1.71886569196529,0.721747529776561,-2.381533183075,0.0172407373785791,0.0486143718415489
"6958","SNRPGP18",1.60089817978365,-3.85967538401583,1.6207033376897,-2.38148172725908,0.0172431462136666,0.0486143718415489
"6959","LOXL2-AS1",27.2011969261662,-0.789485215364089,0.33159343538353,-2.38088312710699,0.0172711905778334,0.0486864413802783
"6960","DLGAP5",1450.9922999469,0.638186783515303,0.268054847196529,2.38080672739115,0.0172747727749845,0.0486895427481136
"6961","MBIP",405.573639019651,0.23552813442504,0.0989376991363273,2.38057016163781,0.0172858689018832,0.0487138184525561
"6962","PIPOX",13.9119498257795,1.24740308950692,0.524036616111389,2.3803739112035,0.0172950787804611,0.0487327722545685
"6963","TSSC4",427.726995160476,-0.257206412869422,0.108059353213722,-2.38023276301417,0.017301705414505,0.0487444427856305
"6964","ZACN",5.15512196574674,1.92638431348168,0.809374312659609,2.38009074831096,0.017308374976939,0.0487562308906681
"6965","LMBRD1",387.694066581682,-0.258307601235243,0.10855105805191,-2.3795954260687,0.0173316548851594,0.0488147988344826
"6966","KRT18P15",3.53119210820539,-3.47263753538279,1.46005272683074,-2.37843296448661,0.0173863978972937,0.0489619534239463
"6967","ATPAF1",1007.86381177855,0.166499378345116,0.0700061915030944,2.3783521824317,0.0173902077399092,0.0489656531123581
"6968","ANKRD65",83.1660040553256,1.04272735378389,0.438452046846677,2.37820158734148,0.0173973120588071,0.0489715986020404
"6969","FAM187B2P",1.50678040380744,-3.88472814782824,1.63346700737669,-2.37821035275578,0.0173968984809052,0.0489715986020404
"6970","TNFRSF1B",5.9696399812981,1.41608834274497,0.595757746501197,2.37695330201154,0.0174562979244179,0.0491305877163996
"6971","WNT4",68.3393960301086,-1.06916510020751,0.449840458953239,-2.37676509288519,0.0174652066620432,0.0491486098248889
"6972","GTF2IRD2P1",26.3877761542314,-0.650673242316998,0.273786675641343,-2.37657015555195,0.017474438076622,0.0491675346742821
"6973","ANKRD40",1590.85058712625,0.201967278709106,0.0849979205799114,2.37614376129619,0.0174946452343966,0.0492173319321895
"6974","SMIM38",13.879657047148,2.28803104667624,0.963071894305605,2.37576349201422,0.017512683772877,0.0492610148512371
"6975","TMEM143",172.477943693647,0.367495280080201,0.154696771073186,2.37558468435221,0.0175211713678377,0.0492778234728131
"6976","CCL7",3.60790444987929,1.94298891491654,0.818088401677345,2.37503540073761,0.0175472671765818,0.0493441428043299
"6977","TLN1",3864.84358407022,0.184905865936468,0.0778597524442759,2.37485812800143,0.0175556964621159,0.0493607707463562
"6978","IRF1-AS1",64.347462348629,-0.594641346704735,0.250410847545079,-2.37466288914536,0.0175649841406239,0.0493798070918054
"6979","RNF11",1623.65936740316,0.16352965862511,0.0688768038155966,2.37423413349619,0.0175853955288346,0.0494301051854347
"6980","FAM21EP",5.15410777442214,-1.52284048435459,0.641515724256805,-2.37381630219399,0.0176053068521634,0.0494748008080466
"6981","KCNH2",107.872841146981,-3.20807432189221,1.35145403700237,-2.37379461976226,0.0176063406454082,0.0494748008080466
"6982","PCF11",1253.29733125841,-0.185990844653669,0.0783543278111878,-2.37371501803774,0.0176101364197619,0.0494783795683857
"6983","RPS27L",902.674831100942,0.22986040434526,0.0968393003189787,2.37362727310218,0.0176143213307796,0.04948305048631
"6984","SMARCC1",3207.01916338883,-0.154771917980165,0.0652110221158434,-2.37340119750342,0.0176251078075187,0.0495062628665656
"6985","BANF1P3",1.54573677104889,-3.883937017982,1.63665209134946,-2.37309874133335,0.0176395475937725,0.0495397287254166
"6986","RBM20",33.7955976238023,-1.00346901771728,0.42291638321162,-2.37273621347311,0.0176568689693721,0.0495812766350091
"6987","TRIM3",307.931594557119,0.263022221176926,0.110863777695971,2.37248113534637,0.01766906539072,0.0496084236109567
"6988","RCOR2",72.20585145201,-0.911562085478709,0.384285296723521,-2.37209722373153,0.0176874358344949,0.0496528947861027
"6989","SPRTN",359.732903925079,0.240705391531361,0.101487041064612,2.37178450574902,0.0177024119810147,0.0496878259882052
"6990","PARG",545.555370494797,0.246706855550253,0.104049826005771,2.37104534453107,0.0177378547917781,0.049780185615209
"6991","H2AX",1654.78090970876,-0.524936880702672,0.221507540100292,-2.369837525463,0.0177959036023917,0.0499359520766869
"6992","MPHOSPH6P1",2.3539260587887,-3.50350953691613,1.47856371403868,-2.36953572149173,0.0178104345257359,0.0499695786743938
"6993","CLOCK",1129.91370807218,0.182331315749988,0.0769622041718705,2.36910205096009,0.0178313326162808,0.050021057047559
"6994","AACSP1",51.6979227129297,-3.20910068728758,1.35460836007123,-2.36902471731301,0.0178350614933316,0.0500243639283222
"6995","LCN12",21.1930611387048,-2.25846763654625,0.953418085377854,-2.36881140727594,0.017845350427279,0.0500460670953442
"6996","C2orf88",45.0349775520779,-0.729933029415554,0.308207056902483,-2.36832029983825,0.0178690585924372,0.050105001431658
"6997","TRPV4",45.1319816110991,0.827071659471608,0.349230261644279,2.36827030847072,0.0178714734677734,0.050105001431658
"6998","EFCAB2",208.758188360454,0.297578600308997,0.125749146033874,2.3664462916419,0.0179597799063611,0.0503453847417957
"6999","TMEM220",20.6463557238426,0.893556290963148,0.377644940899652,2.36612805889695,0.0179752256610208,0.0503814833250815
"7000","SPRY4",599.309497732005,0.852650778419334,0.360462653722615,2.3654344482396,0.0180089310946707,0.0504687430405935
"7001","TNFSF13",35.6886013791852,-0.709128405133843,0.299822341363131,-2.36516198862906,0.0180221861791803,0.0504986753716583
"7002","FAM83C-AS1",1.70820925297768,3.55485050471217,1.50313759590572,2.36495349088131,0.018032335307668,0.0505198974193835
