"","gene_name","MDA 24h","MDA 10w"
"12077","RB1",-0.349658012715409,-0.585364174547254
"12081","RBBP4",-0.305269487805978,-0.476797869923247
"12096","RBL1",-0.60605722507838,-1.21045009212987
"12247","RFC2",-0.513203407593098,-0.308165874765768
"12248","RFC3",-0.545920259828616,-0.531303282892184
"12320","RHOBTB2",-0.48253473028218,-0.663323687877287
"12326","RHOJ",-1.09887870437597,-2.44393956333803
"12606","RPA3",-0.360779924393674,-0.523704442949016
"13009","RRM2",-0.432205994680691,-0.6262474032315
"13043","RSU1",-0.343230646338939,-0.279220595051955
"13163","SAP30",-0.287710761458784,-0.947514710025699
"13280","SDC2",-1.48545791357363,-2.3637193931442
"13281","SDC3",-0.849872454355682,-0.339055845373331
"13645","SIRT4",-0.832720089975088,-0.973093296822183
"13656","SKA2",-0.476809461483468,-0.992258141393153
"13750","SLC25A13",-0.440124389318411,-0.420130326599898
"13961","SLC9A1",-0.407871013822857,-0.329740003867506
"14034","SMC1A",-0.232901089083414,-0.474645292558489
"14036","SMC2",-0.539582026624483,-0.923591828050898
"14115","SNAI2",-0.823638125994027,-0.510372286928707
"14341","SOX9",-0.33085453856448,-0.819803547751697
"14584","SSNA1",-0.326091037354708,-0.291952706525077
"14863","SYNJ1",-0.549714860740027,-0.39629065512752
"15136","TERF1",-0.294127641385366,-0.786333952631019
"15179","TFDP1",-0.329348835338178,-0.305005918293871
"15200","TGFB3",-0.64665448378327,-1.49718368399377
"15311","TIMP2",-0.356101570875122,-0.198247424647216
"15326","TK1",-0.44752854759771,-0.563387097765355
"15655","TNC",-1.18590336690091,-1.34814528797645
"15744","TOPBP1",-0.196874082100253,-0.37442434553901
"15757","TP53",-0.530475144153606,-0.347864575451338
"15782","TPI1",-0.266786188237186,-0.356281277023921
"16029","TSPAN6",-0.953218108522937,-0.825076385340706
"16122","TUBA1A",-0.497149695402531,-1.07394765848733
"16545","VDR",-0.983011439814862,-0.487794400987719
"16620","VRK2",-0.569253029775987,-0.52727752792994
"17128","ZNF101",-0.261151642761467,-0.322303145827648
"17131","ZNF112",-0.882667678371607,-0.755417746396394
"17135","ZNF12",-0.284022832253549,-0.538755634715594
"17163","ZNF180",-0.631038702807607,-0.9134816576784
"17167","ZNF189",-0.222607879013129,-1.01029807763106
"17169","ZNF195",-0.578451091833843,-0.637489185430468
"17180","ZNF214",-0.87695314387813,-1.20754042062413
"17201","ZNF235",-0.557065380992768,-1.03952044749673
"17222","ZNF268",-1.05696823568348,-1.69582181917896
"17260","ZNF324",-0.517196106783711,-0.370020930590643
"17272","ZNF33B",-1.43535534986734,-0.7740203132775
"17280","ZNF347",-0.597156159242302,-0.950141599745375
"17290","ZNF37A",-0.336769455101033,-1.12759155640622
"17295","ZNF385A",-1.18447395405791,-1.35079422130436
"17318","ZNF425",-1.05783793182861,-1.08424029653348
"17323","ZNF43",-1.07596309492284,-1.07286232976138
"17330","ZNF439",-0.365007796521287,-0.535463607388442
"17332","ZNF440",-0.379791792137328,-0.328161894474907
"17340","ZNF45",-0.733088961944459,-0.806926324363549
"17401","ZNF544",-0.420166792623895,-0.574035045807578
"17407","ZNF552",-0.944828754546689,-0.537365817335899
"17410","ZNF557",-0.414780696145256,-1.16313201925253
"17413","ZNF561",-0.20641661779657,-0.414463212812778
"17440","ZNF583",-0.794769273768828,-0.582942796921389
"17465","ZNF611",-0.431677733962919,-0.541934185289882
"17499","ZNF664",-0.173652408052056,-0.202428590142954
"17528","ZNF70",-1.00946682815911,-1.19953250732521
